#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
122048+002145,185.201380,0.362774,0.407,-99.000,-99.00,-99.00,-99.,18.21,22.58,GG,YCN,B,"SuGOHI2 LinKS SuGOHI10"
122102+001853,185.259480,0.314930,0.923,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
122241+020558,185.672000,2.099700,0.229,-99.000,0.24,0.34,-99.,17.10,17.61,GG,V,B,"SuGOHI5 LinKS"
122412+011712,186.052480,1.286700,0.763,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
123421-000926,188.590900,-0.157200,-99.000,-99.000,0.41,-99.00,-99.,18.89,20.17,GG,VCN,B,"SuGOHI5 LinKS SuGOHI10"
123616+021421,189.066827,2.239359,0.450,-99.000,-99.00,-99.00,-99.,20.69,-99.00,GG,Y,B,SuGOHI8
123735+004231,189.398940,0.708890,0.597,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
123754+015902,189.475212,1.983919,0.604,-99.000,-99.00,-99.00,-99.,20.96,-99.00,GG,Y,B,SuGOHI8
123825+003212,189.604290,0.536791,0.478,-99.000,-99.00,-99.00,-99.,19.45,22.63,GG,Y,B,SuGOHI2
124123+001603,190.348350,0.267730,0.705,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
124125+042131,190.354867,4.358856,0.503,-99.000,-99.00,-99.00,-99.,20.95,-99.00,GG,Y,B,SuGOHI8
125251+005805,193.213200,0.968276,0.540,-99.000,-99.00,-99.00,-99.,19.18,23.05,GG,YCN,B,"SuGOHI2 SuGOHI10"
125516+041553,193.820420,4.264851,0.655,-99.000,-99.00,-99.00,-99.,21.01,-99.00,GG,Y,B,SuGOHI8
125925-001053,194.857956,-0.181401,0.664,-99.000,-99.00,-99.00,-99.,21.42,-99.00,GG,Y,B,SuGOHI8
130004+014450,195.020190,1.747300,0.534,-99.000,-99.00,-99.00,-99.,20.79,-99.00,GG,Y,B,SuGOHI8
130848+024602,197.200336,2.767492,0.555,-99.000,-99.00,-99.00,-99.,20.96,-99.00,GG,Y,B,SuGOHI8
131513+003445,198.807183,0.579392,0.599,-99.000,-99.00,-99.00,-99.,21.08,-99.00,GG,Y,B,SuGOHI8
131945+013151,199.941207,1.531090,0.697,-99.000,-99.00,-99.00,-99.,21.37,-99.00,GG,Y,B,SuGOHI8
133350+022145,203.460042,2.362518,0.569,-99.000,-99.00,-99.00,-99.,20.66,-99.00,GG,Y,B,SuGOHI8
133459+001617,203.747774,0.271453,0.484,-99.000,-99.00,-99.00,-99.,20.41,-99.00,GG,Y,B,"SuGOHI8 LinKS"
134351+010817,205.966520,1.138167,0.567,-99.000,-99.00,-99.00,-99.,19.18,21.93,GG,YCN,B,"SuGOHI2 SuGOHI10"
